[2024-04-14T00:57:47.571+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000598.json to gs://congress_data/members/member_L000598.json
[2024-04-14T00:57:47.994+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000577.json to gs://congress_data/members/member_L000577.json
[2024-04-14T00:57:48.709+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000615.json to gs://congress_data/members/member_P000615.json
[2024-04-14T00:57:49.131+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001088.json to gs://congress_data/members/member_H001088.json
[2024-04-14T00:57:49.621+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001067.json to gs://congress_data/members/member_H001067.json
[2024-04-14T00:57:50.026+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001135.json to gs://congress_data/members/member_S001135.json
[2024-04-14T00:57:50.480+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001120.json to gs://congress_data/members/member_C001120.json
[2024-04-14T00:57:50.882+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000304.json to gs://congress_data/members/member_J000304.json
[2024-04-14T00:57:51.382+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000628.json to gs://congress_data/members/member_D000628.json
[2024-04-14T00:57:51.817+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000305.json to gs://congress_data/members/member_J000305.json
[2024-04-14T00:57:52.250+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_D000629.json to gs://congress_data/members/member_D000629.json
[2024-04-14T00:57:52.715+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001309.json to gs://congress_data/members/member_B001309.json
[2024-04-14T00:57:53.138+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001089.json to gs://congress_data/members/member_H001089.json
[2024-04-14T00:57:53.618+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001066.json to gs://congress_data/members/member_H001066.json
[2024-04-14T00:57:54.099+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001121.json to gs://congress_data/members/member_C001121.json
[2024-04-14T00:57:54.919+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_I000058.json to gs://congress_data/members/member_I000058.json
[2024-04-14T00:57:55.622+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000475.json to gs://congress_data/members/member_F000475.json
[2024-04-14T00:57:56.300+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000574.json to gs://congress_data/members/member_G000574.json
[2024-04-14T00:57:57.060+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000599.json to gs://congress_data/members/member_L000599.json
[2024-04-14T00:57:57.531+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000061.json to gs://congress_data/members/member_G000061.json
[2024-04-14T00:57:58.001+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000576.json to gs://congress_data/members/member_L000576.json
[2024-04-14T00:57:58.413+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000614.json to gs://congress_data/members/member_P000614.json
[2024-04-14T00:57:58.893+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000463.json to gs://congress_data/members/member_F000463.json
[2024-04-14T00:57:59.325+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000560.json to gs://congress_data/members/member_L000560.json
[2024-04-14T00:57:59.834+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001159.json to gs://congress_data/members/member_M001159.json
[2024-04-14T00:58:00.266+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001175.json to gs://congress_data/members/member_S001175.json
[2024-04-14T00:58:00.686+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_V000134.json to gs://congress_data/members/member_V000134.json
[2024-04-14T00:58:01.127+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001227.json to gs://congress_data/members/member_M001227.json
[2024-04-14T00:58:01.549+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001072.json to gs://congress_data/members/member_C001072.json
[2024-04-14T00:58:02.002+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000593.json to gs://congress_data/members/member_P000593.json
[2024-04-14T00:58:02.456+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000808.json to gs://congress_data/members/member_W000808.json
[2024-04-14T00:58:02.950+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B000575.json to gs://congress_data/members/member_B000575.json
[2024-04-14T00:58:03.431+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001159.json to gs://congress_data/members/member_S001159.json
[2024-04-14T00:58:03.914+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_N000194.json to gs://congress_data/members/member_N000194.json
[2024-04-14T00:58:04.407+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000394.json to gs://congress_data/members/member_K000394.json
[2024-04-14T00:58:04.884+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001299.json to gs://congress_data/members/member_B001299.json
[2024-04-14T00:58:05.336+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001227.json to gs://congress_data/members/member_S001227.json
[2024-04-14T00:58:05.774+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_J000295.json to gs://congress_data/members/member_J000295.json
[2024-04-14T00:58:06.200+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B001260.json to gs://congress_data/members/member_B001260.json
[2024-04-14T00:58:06.723+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_K000382.json to gs://congress_data/members/member_K000382.json
[2024-04-14T00:58:07.167+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000608.json to gs://congress_data/members/member_R000608.json
[2024-04-14T00:58:07.648+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_E000246.json to gs://congress_data/members/member_E000246.json
[2024-04-14T00:58:08.094+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000599.json to gs://congress_data/members/member_R000599.json
[2024-04-14T00:58:08.553+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000558.json to gs://congress_data/members/member_G000558.json
[2024-04-14T00:58:09.222+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_R000576.json to gs://congress_data/members/member_R000576.json
[2024-04-14T00:58:09.855+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000459.json to gs://congress_data/members/member_F000459.json
[2024-04-14T00:58:10.569+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_A000055.json to gs://congress_data/members/member_A000055.json
