[2024-04-12T17:44:49.765+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H001066.json to gs://congress_data/members/member_H001066.json
[2024-04-12T17:44:50.217+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001121.json to gs://congress_data/members/member_C001121.json
[2024-04-12T17:44:50.669+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_I000058.json to gs://congress_data/members/member_I000058.json
[2024-04-12T17:44:51.162+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000475.json to gs://congress_data/members/member_F000475.json
[2024-04-12T17:44:51.695+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000574.json to gs://congress_data/members/member_G000574.json
[2024-04-12T17:44:52.261+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000599.json to gs://congress_data/members/member_L000599.json
[2024-04-12T17:44:52.753+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000061.json to gs://congress_data/members/member_G000061.json
[2024-04-12T17:44:53.199+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000576.json to gs://congress_data/members/member_L000576.json
[2024-04-12T17:44:53.647+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000614.json to gs://congress_data/members/member_P000614.json
[2024-04-12T17:44:54.091+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000463.json to gs://congress_data/members/member_F000463.json
[2024-04-12T17:44:54.531+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000560.json to gs://congress_data/members/member_L000560.json
[2024-04-12T17:44:54.995+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001159.json to gs://congress_data/members/member_M001159.json
[2024-04-12T17:44:55.430+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001175.json to gs://congress_data/members/member_S001175.json
[2024-04-12T17:44:55.866+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_V000134.json to gs://congress_data/members/member_V000134.json
[2024-04-12T17:44:56.314+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_M001227.json to gs://congress_data/members/member_M001227.json
[2024-04-12T17:44:56.747+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_C001072.json to gs://congress_data/members/member_C001072.json
[2024-04-12T17:44:57.180+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_P000593.json to gs://congress_data/members/member_P000593.json
[2024-04-12T17:44:57.623+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000808.json to gs://congress_data/members/member_W000808.json
[2024-04-12T17:44:58.091+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_B000575.json to gs://congress_data/members/member_B000575.json
[2024-04-12T17:44:58.537+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S001159.json to gs://congress_data/members/member_S001159.json
[2024-04-12T17:44:58.987+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_N000194.json to gs://congress_data/members/member_N000194.json
